SampleID,category,xsectioninpb,kfactor,filterefficiency,xsecunc
################################################################################################################,,,,,ls
,,,,,
# top,,,,,
# ttbar,,,,,
363134,MGPy8EG_N30NLO_Zmumu_Ht280_500_BFilter.recon.A,8.1765,1.141,0.14301,1
363134,MGPy8EG_N30NLO_Zmumu_Ht280_500_BFilter.recon.A,8.1747,1.141,0.14307,1
363135,MGPy8EG_N30NLO_Zmumu_Ht500_700_CVetoBVeto.reco,1.2715,1.141,0.5967,1
363135,MGPy8EG_N30NLO_Zmumu_Ht500_700_CVetoBVeto.reco,1.2713,1.141,0.59688,1
363135,MGPy8EG_N30NLO_Zmumu_Ht500_700_CVetoBVeto.reco,1.2715,1.141,0.5967,1
363136,MGPy8EG_N30NLO_Zmumu_Ht500_700_CFilterBVeto.re,1.2674,1.141,0.24962,1
363136,MGPy8EG_N30NLO_Zmumu_Ht500_700_CFilterBVeto.re,1.2671,1.141,0.24985,1
363136,MGPy8EG_N30NLO_Zmumu_Ht500_700_CFilterBVeto.re,1.2674,1.141,0.24962,1
363137,MGPy8EG_N30NLO_Zmumu_Ht500_700_BFilter.recon.A,1.269,1.141,0.15385,1
363137,MGPy8EG_N30NLO_Zmumu_Ht500_700_BFilter.recon.A,1.2697,1.141,0.15423,1
363137,MGPy8EG_N30NLO_Zmumu_Ht500_700_BFilter.recon.A,1.269,1.141,0.15385,1
363138,MGPy8EG_N30NLO_Zmumu_Ht700_1000_CVetoBVeto.rec,0.4428,1.141,0.57754,1
363138,MGPy8EG_N30NLO_Zmumu_Ht700_1000_CVetoBVeto.rec,0.44175,1.141,0.57874,1
363138,MGPy8EG_N30NLO_Zmumu_Ht700_1000_CVetoBVeto.rec,0.4428,1.141,0.57754,1
363139,MGPy8EG_N30NLO_Zmumu_Ht700_1000_CFilterBVeto.r,0.44356,1.141,0.26195,1
363139,MGPy8EG_N30NLO_Zmumu_Ht700_1000_CFilterBVeto.r,0.44346,1.141,0.26081,1
363139,MGPy8EG_N30NLO_Zmumu_Ht700_1000_CFilterBVeto.r,0.44356,1.141,0.26195,1
363140,MGPy8EG_N30NLO_Zmumu_Ht700_1000_BFilter.recon.,0.44384,1.141,0.16178,1
363140,MGPy8EG_N30NLO_Zmumu_Ht700_1000_BFilter.recon.,0.44398,1.141,0.16182,1
363140,MGPy8EG_N30NLO_Zmumu_Ht700_1000_BFilter.recon.,0.44384,1.141,0.16178,1
363141,MGPy8EG_N30NLO_Zmumu_Ht1000_2000_CVetoBVeto.re,0.14715,1.141,0.55345,1
